Tenant_URL,Destination_URL,Page_Name,Disable_Banner,Status,Start_Date, End_Date
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,New-Form,Yes,Banner button is successfully removed!,01/21/2021 17:45:28,01/21/2021 17:45:36
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,Edit-Form,Yes,Banner button is successfully removed!,01/21/2021 17:45:36,01/21/2021 17:45:44
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,Display-Form,Yes,Banner button is successfully removed!,01/21/2021 17:45:44,01/21/2021 17:45:53
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,Display-Page,Yes,Banner button is successfully removed!,01/21/2021 17:45:53,01/21/2021 17:46:00
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketAbeyance,Edit-Page,Yes,Banner button is successfully removed!,01/21/2021 17:46:00,01/21/2021 17:46:09
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Home,Yes,Banner button is successfully removed!,01/25/2021 15:39:02,01/25/2021 15:39:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,FAQs,Yes,Banner button is successfully removed!,01/25/2021 15:39:08,01/25/2021 15:39:12
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,QuickLink,Yes,Banner button is successfully removed!,01/25/2021 15:39:12,01/25/2021 15:39:16
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,TeamLeaders,Yes,Banner button is successfully removed!,01/25/2021 15:39:16,01/25/2021 15:39:21
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Application,Yes,Banner button is successfully removed!,01/25/2021 15:39:21,01/25/2021 15:39:26
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,New-Form,Yes,Banner button is successfully removed!,01/25/2021 15:39:26,01/25/2021 15:39:31
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-Form,Yes,Banner button is successfully removed!,01/25/2021 15:39:31,01/25/2021 15:39:35
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-Form,Yes,Banner button is successfully removed!,01/25/2021 15:39:35,01/25/2021 15:39:39
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Home,Yes,Banner button is successfully removed!,01/25/2021 15:39:39,01/25/2021 15:39:43
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,FAQs,Yes,Banner button is successfully removed!,01/25/2021 15:39:43,01/25/2021 15:39:47
