Tenant_URL,Destination_URL,Page_Name,Disable_Comments,Status,Start_Date, End_Date
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,Home,No,Social button is successfully removed!,01-17-2021 20.09,01-17-2021 20.10
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,Home,Yes,Social button is successfully removed!,01-17-2021 20.10,01-17-2021 20.10
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,Home,No,Social button is successfully removed!,01-17-2021 20.13,01-17-2021 20.13
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,Home,Yes,Social button is successfully removed!,01-17-2021 20.13,01-17-2021 20.13
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,Home,No,Social button is successfully added!,01-17-2021 20.14,01-17-2021 20.15
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,Home,Yes,Social button is successfully removed!,01-17-2021 20.15,01-17-2021 20.15
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,FAQs,No,Comments button is successfully added!,01/17/2021 20:28:57,01/17/2021 20:29:20
https://demoperform1-admin.sharepoint.com,https://demoperform1.sharepoint.com/sites/Test4,FAQs,Yes,Comments button is successfully removed!,01/17/2021 20:29:20,01/17/2021 20:29:39
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Home,Yes,Comments button is successfully removed!,01/19/2021 16:13:33,01/19/2021 16:13:45
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,FAQs,Yes,Comments button is successfully removed!,01/19/2021 16:13:45,01/19/2021 16:13:54
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,QuickLink,Yes,Comments button is successfully removed!,01/19/2021 16:13:54,01/19/2021 16:14:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,TeamLeaders,Yes,Comments button is successfully removed!,01/19/2021 16:14:07,01/19/2021 16:14:17
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Application,Yes,Comments button is successfully removed!,01/19/2021 16:14:17,01/19/2021 16:14:27
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,New-Form,Yes,Comments button is successfully removed!,01/19/2021 16:14:27,01/19/2021 16:14:38
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Edit-Form,Yes,Comments button is successfully removed!,01/19/2021 16:14:38,01/19/2021 16:14:49
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Display-Form,Yes,Comments button is successfully removed!,01/19/2021 16:14:49,01/19/2021 16:15:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,Home,Yes,Comments button is successfully removed!,01/19/2021 16:15:01,01/19/2021 16:15:15
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,FAQs,Yes,Comments button is successfully removed!,01/19/2021 16:15:15,01/19/2021 16:15:26
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,QuickLink,Yes,Comments button is successfully removed!,01/19/2021 16:15:26,01/19/2021 16:15:39
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,TeamLeaders,Yes,Comments button is successfully removed!,01/19/2021 16:15:39,01/19/2021 16:15:50
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,Application,Yes,Comments button is successfully removed!,01/19/2021 16:15:50,01/19/2021 16:16:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,New-Form,Yes,Comments button is successfully removed!,01/19/2021 16:16:01,01/19/2021 16:16:12
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,Edit-Form,Yes,Comments button is successfully removed!,01/19/2021 16:16:12,01/19/2021 16:16:22
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketPACE,Display-Form,Yes,Comments button is successfully removed!,01/19/2021 16:16:22,01/19/2021 16:16:32
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Regions,Yes,Comments button is successfully removed!,01/20/2021 03:56:42,01/20/2021 03:56:48
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Administration,Yes,Comments button is successfully removed!,01/20/2021 03:56:48,01/20/2021 03:56:55
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Endorsement-ID,Yes,Comments button is successfully removed!,01/20/2021 03:56:55,01/20/2021 03:57:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Endorsement-Status,Yes,Comments button is successfully removed!,01/20/2021 03:57:01,01/20/2021 03:57:07
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Endorsement-Type,Yes,Comments button is successfully removed!,01/20/2021 03:57:07,01/20/2021 03:57:13
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/MidMarketEndorsments,Display-View,Yes,Comments button is successfully removed!,01/20/2021 04:17:02,01/20/2021 04:17:08
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,Home,Yes,Comments button is successfully removed!,01/20/2021 22:45:43,01/20/2021 22:46:39
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,FAQs,Yes,Comments button is successfully removed!,01/20/2021 22:46:39,01/20/2021 22:47:13
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,QuickLink,Yes,Comments button is successfully removed!,01/20/2021 22:47:13,01/20/2021 22:47:54
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,TeamLeaders,Yes,Comments button is successfully removed!,01/20/2021 22:47:54,01/20/2021 22:48:59
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,Application,Yes,Comments button is successfully removed!,01/20/2021 22:48:59,01/20/2021 22:49:43
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,New-Form,Yes,Comments button is successfully removed!,01/20/2021 22:49:43,01/20/2021 22:50:50
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,Edit-Form,Yes,Comments button is successfully removed!,01/20/2021 22:50:50,01/20/2021 22:51:40
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,Home,Yes,Comments button is successfully removed!,01/20/2021 22:56:34,01/20/2021 22:57:15
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,FAQs,Yes,Comments button is successfully removed!,01/20/2021 22:57:15,01/20/2021 22:57:38
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/PolicyDocumentRepository,QuickLink,Yes,Comments button is successfully removed!,01/20/2021 22:57:38,01/20/2021 22:58:05
