Tenant_URL,Destination_URL,Page_Name,Disable_Like,Status,Start_Date, End_Date
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Application,Yes,Social button is successfully removed!,01/25/2021 16:26:44,01/25/2021 16:26:47
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,New-Form,Yes,Social button is successfully removed!,01/25/2021 16:26:47,01/25/2021 16:26:49
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-Form,Yes,Social button is successfully removed!,01/25/2021 16:26:49,01/25/2021 16:26:52
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-Form,Yes,Social button is successfully removed!,01/25/2021 16:26:52,01/25/2021 16:26:54
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Edit-View,Yes,Social button is successfully removed!,01/25/2021 16:26:54,01/25/2021 16:26:56
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Display-View,Yes,Social button is successfully removed!,01/25/2021 16:26:56,01/25/2021 16:26:58
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Home,Yes,Social button is successfully removed!,01/25/2021 16:26:58,01/25/2021 16:27:01
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,FAQs,Yes,Social button is successfully removed!,01/25/2021 16:27:01,01/25/2021 16:27:03
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,QuickLink,Yes,Social button is successfully removed!,01/25/2021 16:27:03,01/25/2021 16:27:05
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,TeamLeaders,Yes,Social button is successfully removed!,01/25/2021 16:27:05,01/25/2021 16:27:08
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Application,Yes,Social button is successfully removed!,01/25/2021 16:27:08,01/25/2021 16:27:10
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,New-Form,Yes,Social button is successfully removed!,01/25/2021 16:27:10,01/25/2021 16:27:13
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-Form,Yes,Social button is successfully removed!,01/25/2021 16:27:13,01/25/2021 16:27:16
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-Form,Yes,Social button is successfully removed!,01/25/2021 16:27:16,01/25/2021 16:27:18
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Edit-View,Yes,Social button is successfully removed!,01/25/2021 16:27:18,01/25/2021 16:27:20
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/JournalCorrectionRequests,Display-View,Yes,Social button is successfully removed!,01/25/2021 16:27:20,01/25/2021 16:27:23
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,Home,Yes,Social button is successfully removed!,01/25/2021 16:30:41,01/25/2021 16:30:43
https://devperform2-admin.sharepoint.com,https://devperform2.sharepoint.com/sites/QuoterLibraryNorthern,FAQs,Yes,Social button is successfully removed!,01/25/2021 16:30:43,01/25/2021 16:30:46
